,,2020-03-28 6pm GMT,2020-03-28 7pm GMT,2020-03-28 8pm GMT,2020-03-28 9pm GMT,2020-03-28 10pm GMT,2020-03-28 11pm GMT,2020-03-29 12am GMT,2020-03-29 3am GMT,2020-03-29 7am GMT,2020-03-29 8am GMT,2020-03-29 9am GMT,2020-03-29 10am GMT,2020-03-29 11am GMT,2020-03-29 12pm GMT
China,Cases,81394.0,81394,81394,81394,81394,81394,81439,81439,81439,81439,81439,81439,81439,81439
China,Deaths,3295,3295,3295,3295,3295,3295,3300,3300,3300,3300,3300,3300,3300,3300
China,Recovered,74971,74971,74971,74971,74971,74971,75448,75448,75448,75448,75448,75448,75448,75448
France,Cases,32964,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575,37575
France,Deaths,1995,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314,2314
France,Recovered,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700,5700
Germany,Cases,56202,56202,57695,57695,57695,57695,57695,57695,57695,57695,58247,58247,58247,58247
Germany,Deaths,403,403,430,430,433,433,433,433,433,433,455,455,455,455
Germany,Recovered,6658,6658,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481,8481
India,Cases,,,933,933,987,987,987,987,987,987,987,987,987,987
India,Deaths,,,20,20,24,24,24,24,25,25,25,25,25,25
India,Recovered,,,84,84,84,84,84,84,87,87,87,87,87,87
Italy,Cases,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472,92472
Italy,Deaths,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023,10023
Italy,Recovered,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384,12384
South-Korea,Cases,,,9478,9478,9478,9478,9478,9583,9583,9583,9583,9583,9583,9583
South-Korea,Deaths,,,144,144,144,144,144,152,152,152,152,152,152,152
South-Korea,Recovered,,,4811,4811,4811,4811,4811,5033,5033,5033,5033,5033,5033,5033
Spain,Cases,72248,72248,72248,72335,73232,73235,73235,73235,73235,73235,73235,73235,78797,78797
Spain,Deaths,5812,5812,5812,5820,5982,5982,5982,5982,5982,5982,5982,5982,6528,6528
Spain,Recovered,12285,12285,12285,12285,12285,12285,12285,12285,12285,12285,12285,12285,14709,14709
UK,Cases,17089,17089,17089,17089,17089,17089,17089,17089,17089,17089,17089,17089,17089,17089
UK,Deaths,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019,1019
UK,Recovered,135,135,135,135,135,135,135,135,135,135,135,135,135,135
US,Cases,116050,116448,119609,120076,120529,122246,123313,123750,123776,123776,123780,123781,123781,123781
US,Deaths,1937,1943,1988,1993,2008,2047,2211,2227,2229,2229,2229,2229,2229,2229
US,Recovered,3224,3224,3224,3229,3229,3231,3231,3231,3231,3231,3238,3238,3238,3238
Worldwide,Cases,645264,650926,656690,657915,659435,661367,662674,663740,664621,664941,666010,668705,677705,678969
Worldwide,Deaths,29957,30299,30398,30433,30627,30671,30846,30879,30891,30896,30935,31065,31737,31771
Worldwide,Recovered,139550,139555,141414,141419,141420,141464,141945,142183,142368,142449,142479,143107,146319,146345
